,lamost,file_name,snrr,teffin,loggin,fehin,RA,DEC
0,J121924.58+282256.6,spec-55917-B5591705_sp13-116.fits,42.94,3861.0,5.0,0.27,184.850304,28.382399
1,J020228.24+103453.4,spec-56201-EG020224N124106V01_sp01-098.fits,40.84,3254.0,5.1,-0.17,30.617683,10.58152
2,J100844.60+024356.7,spec-56286-HD100408N031203B04_sp08-071.fits,73.43,3486.0,4.9,0.06,152.185846,2.732438
3,J124249.77+415347.1,spec-56361-HD124433N430735B01_sp05-088.fits,39.25,3400.0,5.5,-0.05,190.707389,41.896422
4,J141722.10+452546.0,spec-56362-HD141351N461930M01_sp08-161.fits,136.9,3196.0,5.1,-0.1,214.3421,45.429451
5,J032146.92-064024.1,spec-56560-EG031354S063952V01_sp13-083.fits,42.2,3500.0,5.1,-0.05,50.445522,-6.673387
6,J195109.37+462901.2,spec-56561-KP195920N454621V02_sp14-168.fits,310.21,3200.0,5.5,-0.05,297.789083,46.483667
7,J220113.11+281824.8,spec-56596-HD215229N284736V01_sp06-187.fits,31.82,3206.0,5.0,-0.05,330.304653,28.306915
8,J083425.89-010839.5,spec-56621-HD083431S004333V01_sp04-083.fits,22.01,3371.0,5.0,-0.03,128.607899,-1.144317
9,J005702.84+450509.7,spec-56629-HD004932N440333V01_sp13-153.fits,58.18,3400.0,5.0,-0.05,14.261855,45.086034
10,J083121.50-060202.5,spec-56649-GAC126S04V2_sp07-181.fits,172.56,3802.0,4.7,0.16,127.83961,-6.034051
11,J091403.20+194006.0,spec-56656-VB137N18V1_sp12-138.fits,49.95,3400.0,5.1,-0.05,138.51337,19.668341
12,J073922.83+021059.7,spec-56668-HD074049N040418V01_sp01-067.fits,234.65,3800.0,5.5,-0.05,114.845988,2.183671
13,J113014.51+073518.2,spec-56738-HD113827N080803V_sp10-116.fits,93.85,4180.0,4.6,-0.69,172.56046,7.588391
14,J175750.95+463521.0,spec-56768-HD180157N475305V_sp05-209.fits,11.35,3400.0,5.0,-0.05,269.462324,46.589183
15,J053452.10+135246.3,spec-56958-HD052834N134044V01_sp13-080.fits,44.22,3400.0,5.1,-0.05,83.717106,13.879542
16,J025225.04+265828.0,spec-56976-HD025615N290950V01_sp02-116.fits,381.19,3865.0,5.0,0.34,43.104288,26.974985
17,J225153.61+314515.0,spec-56993-HD224534N302633V01_sp12-151.fits,38.64,3464.0,5.0,-0.05,342.973395,31.754188
18,J042152.48+212112.9,spec-57019-HD041823N213445V01_sp08-027.fits,267.09,3500.0,5.0,-0.05,65.468696,21.3536
