,Name,RA,DEC,SpT,Teff,logg,Fe_H,ref_name,Teff_err,logg_err,Fe_H_err
0,2M J05363846+1117487,83.93754166666665,11.28738888888889,M4.0V,3333,5.070000171661377,-0.14000000059604645,Pass2018,51.0,0.07,0.16
1,GJ 70,25.62408333333333,4.237638888888889,M2.0V,3534,4.909999847412109,-0.07999999821186066,Pass2018,51.0,0.07,0.16
2,GJ 3779,200.73645,24.46767,dM4.0,3324,5.050000190734863,0.0,Schw2019,51.0,0.07,0.16
3,GJ 609,240.53191666666663,20.627388888888888,M4.0V,3310,5.050000190734863,0.019999999552965164,Pass2018,51.0,0.07,0.16
4,GJ408,165.01773737,22.832957399999998,M2.5,3461.0,4.91,-0.21,Mald2020,68.0,0.07,0.09
5,Gl 324B,133.17026,28.31634,dM4.5,3320,5.019999980926514,0.15000000596046448,Schw2019,51.0,0.07,0.16
6,Gl 512A,202.08783,-2.36031,dM3.0,3482,4.920000076293945,0.009999999776482582,Schw2019,51.0,0.07,0.16
7,HD184786,293.42337499999996,49.26230555555556,M4.5III,3467,0.6000000238418579,-0.03999999910593033,MILES1,0.0,0.0,0.0
8,Gl 436,175.54622,26.70657,dM2.5,3505,4.909999847412109,-0.03999999910593033,Schw2019,51.0,0.07,0.16
9,Gl273,111.85208229,5.22578699,M4.0,3315.0,5.03,-0.04,Mald2020,69.0,0.12,0.09
10,RX J1417.3+4525,214.34209,45.42944,dM5.0,3196,5.130000114440918,-0.10000000149011612,Schw2019,51.0,0.07,0.16
11,Gl 251,103.70399,33.26818,dM3.0,3451,4.960000038146973,-0.029999999329447746,Schw2019,51.0,0.07,0.16
12,Gl 548B,216.44438,23.62047,dM0.5,3947,4.650000095367432,0.17000000178813934,Schw2019,51.0,0.07,0.16
13,Ross 136,275.32716666666664,6.3358888888888885,M4.0V,3405,5.0,0.0,Pass2018,51.0,0.07,0.16
14,GSC 02187-00512,320.345625,22.863333333333333,M1.0V,3705,4.829999923706055,-0.1899999976158142,Pass2018,51.0,0.07,0.16
15,GJ47,15.33353776,61.36574498,M2.0,3517.0,4.89,-0.26,Mald2020,68.0,0.05,0.09
16,GJ 9773,333.14977,8.55322,dM3.0,3501,4.920000076293945,-0.03999999910593033,Schw2019,51.0,0.07,0.16
17,HD 119850,206.4324,14.89152,M2V,3618,4.78000020980835,-0.30000001192092896,Yee2017,60.0,0.05,0.05
18,GJ 102,38.17449999999999,24.854555555555557,M4.0V,3293,5.090000152587891,-0.10999999940395355,Pass2018,51.0,0.07,0.16
19,GJ3352,83.53609777,51.21565739,M0.5,3822.0,4.71,-0.13,Mald2020,69.0,0.05,0.09
20,Gl 654,256.30742,-5.09424,dM1.5,3642,4.809999942779541,-0.009999999776482582,Schw2019,51.0,0.07,0.16
21,GJ3942,242.26308807,52.94387734,M0.0,3860.0,4.67,-0.08,Mald2020,69.0,0.06,0.09
22,Gl752A,289.23023552,5.16889968,M3.0,3538.0,4.77,0.05,Mald2020,68.0,0.05,0.09
23,GJ410,165.65975803,21.96714013,M0.0,3839.0,4.68,-0.05,Mald2020,70.0,0.06,0.1
24,TYC3720-426-1,55.40532116,55.21856372,M0.0,3813.0,4.63,0.12,Mald2020,69.0,0.05,0.09
25,Ross 1007,199.73054166666665,33.42975,M1.5V,3801,4.670000076293945,0.18000000715255737,Pass2018,51.0,0.07,0.16
26,GL 806,311.26708,44.49907,M2V,3542,4.78000020980835,-0.15000000596046448,Yee2017,60.0,0.05,0.05
27,GJ4306,343.99935659,17.81105534,M1.0,3769.0,4.74,-0.14,Mald2020,68.0,0.05,0.09
28,GJ 3564,145.98172,26.969,dM3.5,3427,4.980000019073486,-0.019999999552965164,Schw2019,51.0,0.07,0.16
29,GJ 4040,269.46236,46.58865,dM2.5,3441,4.96999979019165,-0.03999999910593033,Schw2019,51.0,0.07,0.16
30,GL 686,264.47228,18.59171,M1.5Ve,3657,4.829999923706055,-0.25,Yee2017,60.0,0.05,0.05
31,BD-07 5871,342.3720833333333,-7.1745833333333335,M0.5V,3895,4.730000019073486,-0.10000000149011612,Pass2018,51.0,0.07,0.16
32,Gl 105B,39.06361,6.87165,dM4.0,3327,5.03000020980835,0.05000000074505806,Schw2019,51.0,0.07,0.16
33,HD 38B,1.2191666666666665,45.72063888888889,M0.0V,4055,4.639999866485596,0.10999999940395355,Pass2018,51.0,0.07,0.16
34,LHS337,189.70457636,-38.38157547,M4.0,3257.0,5.08,-0.31,Mald2020,67.0,0.15,0.09
35,Gl 15B,4.6076,44.02725,dM3.5,3291,5.110000133514404,-0.1899999976158142,Schw2019,51.0,0.07,0.16
36,Gl678.1A,262.59470082,5.54851772,M0.0,3831.0,4.7,-0.11,Mald2020,69.0,0.05,0.09
37,GJ 3871,223.11889,12.39244,dM2.0,3548,4.889999866485596,-0.07999999821186066,Schw2019,51.0,0.07,0.16
38,HD060522,113.98062499999997,26.89575,M0III-IIIb,3884,1.2000000476837158,0.11999999731779099,MILES1,0.0,0.0,0.0
39,GJ208,84.12912679,11.327869999999999,M0.0,3860.0,4.63,0.05,Mald2020,70.0,0.06,0.09
40,HD 1326,4.59536,44.02296,M2V,3567,4.869999885559082,-0.36000001430511475,Yee2017,60.0,0.05,0.05
41,BD+05 3993,284.3035416666666,5.8803888888888896,M0.5V,3913,4.679999828338623,0.07999999821186066,Pass2018,51.0,0.07,0.16
42,V816 Her,280.5039166666666,13.889944444444444,M4.0V,3254,5.110000133514404,-0.10999999940395355,Pass2018,51.0,0.07,0.16
43,Ross 388,77.06320833333332,15.436333333333334,M3.0V,3412,5.010000228881836,-0.09000000357627869,Pass2018,51.0,0.07,0.16
44,GJ169,67.25051557,21.92269973,M0.0,3901.0,4.63,0.41999998688697815,Mald2020*,71.0,0.15,0.0
45,GL 239,99.295,17.56482,M0.0Ve,3801,4.860000133514404,-0.3400000035762787,Yee2017,60.0,0.05,0.05
46,HD 112300,193.902,3.397611111111111,M3III,3684,1.2999999523162842,-0.14000000059604645,STELIB,0.0,0.0,0.0
47,HD 209290,330.54281,1.40023,M0.5V,3848,4.739999771118164,0.019999999552965164,Yee2017,60.0,0.05,0.05
48,GJ 1006B,4.0673,19.86402,dM4.0,3323,5.03000020980835,0.07999999821186066,Schw2019,51.0,0.07,0.16
49,HIP 109388,332.4181,-4.64074,M3.5V,3530,4.78000020980835,0.3700000047683716,Yee2017,60.0,0.05,0.05
50,G 005-032,50.62295833333333,11.63,M2.5V,3412,5.019999980926514,-0.10999999940395355,Pass2018,51.0,0.07,0.16
51,LP 229-017,278.5222083333333,40.109833333333334,M3.5V,3392,4.980000019073486,0.09000000357627869,Pass2018,51.0,0.07,0.16
52,LP 670-017,158.55604166666666,-9.328583333333333,M3.0V,3457,4.949999809265137,-0.029999999329447746,Pass2018,51.0,0.07,0.16
53,HIP 1532,4.77318,-9.96485,M0V,4039,4.710000038146973,-0.3700000047683716,Yee2017,60.0,0.05,0.05
54,HD173740,280.69541666666663,59.62683333333334,M5 V,3365,4.929999828338623,-0.5400000214576721,MILES1,0.0,0.0,0.0
55,Wolf 433,189.51099999999997,11.782833333333334,M3.0V,3429,4.960000038146973,0.03999999910593033,Pass2018,51.0,0.07,0.16
56,HD175865,283.83375,43.94608333333333,M5 III,3420,0.5,0.14000000059604645,MILES1,0.0,0.0,0.0
