index,lamost,RA,DEC,snr,snrr,Teff,Teff_err,logg,logg_err,Fe_H,Fe_H_err,RV,RV_err,sigma,sig_err
      0,J121924.58+282256.6,    184.8503113,     28.3823986,     12.9734173,     42.9399986,   3767.2602539,     70.4219360,      4.7205896,      0.1467535,     -0.1598614,      0.2015538,     46.6591606,     14.2759094,     68.4095917,     17.6158295
      1,J020228.24+103453.4,     30.6176834,     10.5815201,      9.6771164,     40.8400002,   3324.7265625,     19.7764282,      4.8956923,      0.0683807,     -1.0281591,      0.1932922,     97.1264877,     14.7235470,     92.1427383,     17.6666126
      2,J100844.60+024356.7,    152.1858521,      2.7324381,     19.0600357,     73.4300003,   3358.7656250,     35.0509148,      4.8954167,      0.0633743,      0.0425713,      0.1540751,    114.7889099,     10.7671547,     72.3424149,     13.3157263
      3,J124249.77+415347.1,    190.7073822,     41.8964233,     11.7462673,     39.2500000,   3276.7780762,     42.8174629,      4.8285308,      0.0728597,      0.0014519,      0.1886893,     89.6005402,     14.5703583,     84.1752319,     17.7798424
      4,J141722.10+452546.0,    214.3421021,     45.4294510,     11.0482750,    136.8999939,   3227.9772949,     38.0922089,      4.8251510,      0.0632678,     -0.2857535,      0.2055088,     93.7663803,     13.1091394,     83.8118210,     16.1343670
      5,J032146.92-064024.1,     50.4455223,     -6.6733871,     27.7281132,     42.2000008,   3537.2197266,     34.2492447,      4.8443785,      0.0684888,     -0.3997766,      0.1687480,    102.5692902,      9.5331078,     65.6942139,     11.8831482
      6,J195109.37+462901.2,    297.7890930,     46.4836655,     13.0093088,    310.2099915,   3361.8583984,     33.2730637,      4.8699017,      0.0686713,     -0.7106813,      0.2628397,     69.0825577,     14.4191751,     94.3848724,     17.2308178
      7,J220113.11+281824.8,    330.3046570,     28.3069153,     10.7347775,     31.8199997,   3228.3530273,     40.9822617,      4.8055086,      0.0690689,     -0.2629105,      0.2081395,     80.5139923,     14.4203386,     87.4466553,     17.7697315
      8,J083425.89-010839.5,    128.6078949,     -1.1443170,     17.5461617,     22.0100002,   3382.3542480,     35.1318932,      4.8954182,      0.0739609,     -0.5050991,      0.1975444,    137.5233765,     11.8473129,     77.6921310,     14.7277327
      9,J005702.84+450509.7,     14.2618551,     45.0860329,     24.0074005,     58.1800003,   4289.8173828,    104.3969116,      2.1090598,      0.3838918,     -0.1482041,      0.1625889,    100.7285767,      6.4122596,     44.7836571,     12.3724270
     10,J083121.50-060202.5,    127.8396072,     -6.0340509,     40.7332878,    172.5599976,   3560.1811523,     28.6370831,      4.7994576,      0.0586966,     -0.2205889,      0.1186603,    159.8123627,      6.8956919,     36.8287506,     12.3804665
     11,J091403.20+194006.0,    138.5133667,     19.6683407,     21.8856049,     49.9500008,   3539.1855469,     36.5612183,      4.9032621,      0.0689328,     -0.2835548,      0.1791872,     90.1393509,      9.9829988,     61.1424217,     12.5691137
     12,J073922.83+021059.7,    114.8459854,      2.1836710,     69.7219925,    234.6499939,   3801.2429199,     30.6581821,      4.6890049,      0.0629994,     -0.1128880,      0.0747654,    100.7575607,      3.9492879,     38.1485519,     11.0441599
     13,J113014.51+073518.2,    172.5604553,      7.5883908,     24.0262241,     93.8499985,   3419.5263672,     32.6776695,      4.8727169,      0.0635463,     -0.1223987,      0.1592106,     88.3110504,     10.4277821,     75.6923599,     12.6465693
     14,J175750.95+463521.0,    269.4623108,     46.5891838,      7.4940591,     11.3500004,   3472.9084473,     58.6376762,      4.8760929,      0.1187102,     -0.3986858,      0.3263874,     33.1070976,     19.0072308,     74.2068939,     22.9843750
