,Name,Teff,SpT,Fe_H,logg,ref_name,RA,DEC
0,2MASS J22353504+3712131,3895.0,K7.5,-0.16,4.67,arXiv:2010.14867/Table_A1,338.8959705,37.20364307
1,BPM96441,3942.0,M0.0,-0.01,4.58,arXiv:2010.14867/Table_A1,318.23105432,31.13175017
2,G108-21,3421.0,M3.5,0.09,4.85,arXiv:2010.14867/Table_A1,100.54664101,3.58128508
3,G141-29,3417.0,M4.0,0.07,4.86,arXiv:2010.14867/Table_A1,280.687411,13.90464682
4,GJ1002,3378.0,M4.0,-0.25,5.01,arXiv:2010.14867/Table_A1,1.67998846,-7.5380623
5,GJ1009,3662.0,M2.0,0.01,4.73,arXiv:2010.14867/Table_A1,5.48351984,-31.40605896
6,GJ1030,3652.0,M2.0,-0.06,4.76,arXiv:2010.14867/Table_A1,16.67296462,15.27280275
7,GJ1057,3394.0,M4.0,-0.09,4.94,arXiv:2010.14867/Table_A1,48.34548968,4.77481772
8,GJ1065,3331.0,M3.5,-0.25,5.08,arXiv:2010.14867/Table_A1,57.68453834,-6.0948972
9,GJ1068,3294.0,M3.5,-0.37,5.18,arXiv:2010.14867/Table_A1,62.61718071,-53.60226063
10,GJ1074,3779.0,M0.5,-0.13,4.73,arXiv:2010.14867/Table_A1,74.69162785,50.94382384
11,GJ1097,3423.0,M3.0,-0.01,4.88,arXiv:2010.14867/Table_A1,112.18932929,-3.29814053
12,GJ1123,3349.0,M4.0,0.07,4.94,arXiv:2010.14867/Table_A1,139.27217685,-77.82316169
13,GJ1125,3391.0,M3.5,-0.11,4.95,arXiv:2010.14867/Table_A1,142.68577104,0.32266669
14,GJ1129,3345.0,M4.0,-0.06,4.99,arXiv:2010.14867/Table_A1,146.19728162,-18.21360059
15,GJ119A,3776.0,M1.0,-0.08,4.72,arXiv:2010.14867/Table_A1,44.14343631,55.43724978
16,GJ119B,3490.0,M3.0,0.03,4.81,arXiv:2010.14867/Table_A1,44.1464829,55.44155847
17,GJ1224,3371.0,M4.0,-0.01,4.94,arXiv:2010.14867/Table_A1,271.88682397,-15.96307412
18,GJ1232,3342.0,M4.0,-0.11,5.01,arXiv:2010.14867/Table_A1,287.46197209,17.66844676
19,GJ1236,3373.0,M3.0,-0.37,5.06,arXiv:2010.14867/Table_A1,290.50862757,7.04175395
20,GJ1256,3351.0,M4.0,-0.02,4.97,arXiv:2010.14867/Table_A1,310.14109545,15.49964693
21,GJ1265,3346.0,M4.0,-0.2,5.04,arXiv:2010.14867/Table_A1,333.42859507,-17.68574347
22,GJ150.1B,3725.0,M1.0,-0.12,4.75,arXiv:2010.14867/Table_A1,55.93853029,16.66726928
23,GJ156,3864.0,M0.0,0.20999999344348907,4.63,arXiv:2010.14867/Table_A1,58.64777559,-6.82601476
