Star,T_{eff}(K),SpType,[Fe/H](dex),log(g)(cms^{−2})
2MASS J22353504+3712131,3895 ± 71,K7.5, -0.16 ± 0.09,4.67 ± 0.07
BPM96441,3942 ± 71,M0.0, -0.01 ± 0.09,4.58 ± 0.08
G108-21,3421 ± 68,M3.5,0.09 ± 0.09,4.85 ± 0.08
G141-29,3417 ± 68,M4.0,0.07 ± 0.09,4.86 ± 0.08
GJ1002,3378 ± 69,M4.0, -0.25 ± 0.10,5.01 ± 0.10
GJ1009,3662 ± 68,M2.0,0.01 ± 0.09,4.73 ± 0.04
GJ1030,3652 ± 68,M2.0, -0.06 ± 0.09,4.76 ± 0.04
GJ1057,3394 ± 68,M4.0, -0.09 ± 0.09,4.94 ± 0.09
GJ1065,3331 ± 69,M3.5, -0.25 ± 0.09,5.08 ± 0.11
GJ1068,3294 ± 67,M3.5, -0.37 ± 0.09,5.18 ± 0.13
GJ1074,3779 ± 69,M0.5, -0.13 ± 0.09,4.73 ± 0.05
GJ1097,3423 ± 68,M3.0, -0.01 ± 0.09,4.88 ± 0.08
GJ1123,3349 ± 70,M4.0,0.07 ± 0.09,4.94 ± 0.11
GJ1125,3391 ± 68,M3.5, -0.11 ± 0.09,4.95 ± 0.09
GJ1129,3345 ± 69,M4.0, -0.06 ± 0.09,4.99 ± 0.11
GJ119A,3776 ± 69,M1.0, -0.08 ± 0.09,4.72 ± 0.05
GJ119B,3490 ± 68,M3.0,0.03 ± 0.09,4.81 ± 0.06
GJ1224,3371 ± 66,M4.0, -0.01 ± 0.09,4.94 ± 0.09
GJ1232,3342 ± 69,M4.0, -0.11 ± 0.09,5.01 ± 0.11
GJ1236,3373 ± 68,M3.0, -0.37 ± 0.09,5.06 ± 0.10
GJ1256,3351 ± 69,M4.0, -0.02 ± 0.09,4.97 ± 0.11
GJ1265,3346 ± 68,M4.0, -0.20 ± 0.09,5.04 ± 0.11
GJ150.1B,3725 ± 68,M1.0, -0.12 ± 0.09,4.75 ± 0.04
GJ156,3864 ± 70,M0.0,999±0,4.63 ± 0.15
GJ156.1,3746 ± 68,M1.5, -0.03 ± 0.09,4.71 ± 0.04
GJ15A,3610 ± 68,M1.0, -0.35 ± 0.09,4.87 ± 0.04
GJ15B,3386 ± 68,M3.0, -0.43 ± 0.09,5.06 ± 0.09
GJ16,3679 ± 68,M1.5, -0.16 ± 0.09,4.78 ± 0.04
GJ162,3759 ± 68,M0.5, -0.19 ± 0.09,4.76 ± 0.04
GJ169,3901 ± 71,M0.0,999±0,4.63 ± 0.15
GJ173,3610 ± 68,M2.0, -0.15 ± 0.09,4.80 ± 0.04
GJ179,3381 ± 68,M3.5,0.05 ± 0.09,4.91 ± 0.09
GJ180,3536 ± 68,M2.0, -0.17 ± 0.09,4.84 ± 0.05
GJ184,3744 ± 69,M0.5, -0.10 ± 0.09,4.74 ± 0.04
GJ2,3709 ± 68,M1.0, -0.14 ± 0.09,4.76 ± 0.04
GJ2066,3559 ± 68,M2.0, -0.10 ± 0.09,4.81 ± 0.05
GJ208,3860 ± 70,M0.0,0.05 ± 0.09,4.63 ± 0.06
GJ21,3762 ± 68,M0.5, -0.11 ± 0.09,4.73 ± 0.04
GJ2128,3522 ± 68,M2.5, -0.26 ± 0.09,4.88 ± 0.05
GJ26,3507 ± 68,M2.5, -0.15 ± 0.09,4.85 ± 0.06
GJ27.1,3750 ± 68,M1.0, -0.09 ± 0.09,4.73 ± 0.04
GJ272,3773 ± 68,M1.0, -0.12 ± 0.09,4.73 ± 0.05
GJ3014,3692 ± 69,M1.5, -0.19 ± 0.09,4.79 ± 0.04
GJ3117,3566 ± 68,M2.5, -0.06 ± 0.09,4.79 ± 0.05
GJ3126,3491 ± 68,M3.0, -0.02 ± 0.09,4.82 ± 0.06
GJ317,3398 ± 68,M3.5,0.18 ± 0.09,4.84 ± 0.09
GJ3186,3768 ± 68,M1.0, -0.14 ± 0.09,4.74 ± 0.05
GJ3352,3822 ± 69,M0.5, -0.13 ± 0.09,4.71 ± 0.05
GJ3356,3394 ± 68,M3.5, -0.01 ± 0.09,4.91 ± 0.09
GJ361,3619 ± 68,M2.0, -0.13 ± 0.09,4.79 ± 0.04
GJ3649,3706 ± 68,M1.5, -0.11 ± 0.09,4.76 ± 0.04
GJ3708,3444 ± 68,M3.0, -0.11 ± 0.09,4.89 ± 0.07
GJ3804,3342 ± 69,M3.5, -0.02 ± 0.09,4.98 ± 0.11
GJ3822,3832 ± 69,M0.5, -0.12 ± 0.09,4.70 ± 0.05
GJ390,3713 ± 68,M1.5, -0.06 ± 0.09,4.74 ± 0.04
GJ3942,3860 ± 69,M0.0, -0.08 ± 0.09,4.67 ± 0.06
