,Name,RA,DEC,SpT,Teff,logg,Fe_H,ref_name,Teff_err,logg_err,Fe_H_err
0,G 4-44,42.99316666666667,11.369972222222223,G5,5750,4.11,-0.69,CFLIB,0.0,0.0,0.0
1,G 5-40,51.91541666666666,21.041666666666668,G0,5863,4.24,-0.83,CFLIB,0.0,0.0,0.0
2,G 7-6,57.59570833333333,17.47636111111111,G0,5594,4.5,0.07,CFLIB,0.0,0.0,0.0
3,G 11-45,183.12016666666665,-3.0844722222222223,G4V,5725,,0.15,CFLIB,0.0,0.0,0.0
4,G 12-21,183.0057083333333,13.261277777777778,F2,5939,4.23,-1.33,CFLIB,0.0,0.0,0.0
5,G 12-22,183.2397083333333,10.037722222222222,G8V,5437,4.77,0.13,CFLIB,0.0,0.0,0.0
6,G 12-24,183.30466666666666,10.821666666666667,G3V,5337,4.0,-0.54,CFLIB,0.0,0.0,0.0
7,G 15-20,230.67729166666666,1.418638888888889,K3V,4765,4.47,0.19,CFLIB,0.0,0.0,0.0
8,G 16-13,237.74554166666667,8.423277777777777,G0,5593,4.0,-1.15,CFLIB,0.0,0.0,0.0
9,G 16-32,242.2967083333333,6.378694444444444,K1.5IV,4768,3.4,-0.07,CFLIB,0.0,0.0,0.0
10,G 17-21,247.6185833333333,4.178222222222223,F8V,5867,4.26,-0.74,CFLIB,0.0,0.0,0.0
11,G 17-30,249.57245833333332,-2.442166666666667,G0,5600,4.1,-0.65,CFLIB,0.0,0.0,0.0
12,G 19-24,261.4384583333333,2.111416666666667,K5,4180,4.7,-0.2,CFLIB,0.0,0.0,0.0
13,G 22-7,283.97070833333333,-5.745222222222222,K0IV-V,5713,4.73,0.32,CFLIB,0.0,0.0,0.0
14,G 25-15,316.03079166666663,2.9944722222222224,F9V,5829,4.39,-0.58,CFLIB,0.0,0.0,0.0
15,G 25-29,321.67879166666665,5.441638888888889,G5,5830,4.12,-0.63,CFLIB,0.0,0.0,0.0
16,G 27-44,340.96133333333324,3.886833333333333,F8,5983,4.37,-0.65,CFLIB,0.0,0.0,0.0
17,G 36-33,42.038083333333326,27.068638888888888,K1V,5425,,0.21,CFLIB,0.0,0.0,0.0
18,G 37-26,47.106624999999994,26.330944444444444,A4p,6016,4.43,-1.95,CFLIB,0.0,0.0,0.0
19,G 40-34,131.10287499999998,24.796583333333334,F0,6811,4.0,-1.26,CFLIB,0.0,0.0,0.0
20,G 43-3,147.23375,13.74425,sdF5,6350,4.03,-2.07,CFLIB,0.0,0.0,0.0
21,G 43-33,153.07949999999997,17.299166666666668,F8,5935,3.97,-0.36,CFLIB,0.0,0.0,0.0
22,G 44-6,153.5347083333333,3.1513055555555556,G1V,5600,4.3,-0.68,CFLIB,0.0,0.0,0.0
23,G 46-31,139.26666666666665,3.0249166666666665,,5907,4.18,-0.81,CFLIB,0.0,0.0,0.0
24,G 48-29,145.17999999999998,1.0081944444444444,sd:A2,6295,4.0,-2.66,CFLIB,0.0,0.0,0.0
25,G 57-11,174.75416666666663,6.057888888888889,G5,5790,4.68,0.07,CFLIB,0.0,0.0,0.0
26,G 58-25,162.86716666666666,20.2775,F4V,6061,4.34,-1.39,CFLIB,0.0,0.0,0.0
27,G 58-30,164.28983333333332,21.804861111111112,G0,5896,4.06,0.13,CFLIB,0.0,0.0,0.0
28,G 60-6,187.00416666666663,7.458333333333334,K2,5300,4.6,0.3,CFLIB,0.0,0.0,0.0
29,G 63-9,198.08225,17.51711111111111,F9V,5871,4.24,-0.74,CFLIB,0.0,0.0,0.0
30,G 65-16,208.95145833333328,12.43875,G5,5538,4.0,-0.65,CFLIB,0.0,0.0,0.0
31,G 65-47,215.81366666666662,1.2415555555555555,G1V,5650,4.4,-0.44,CFLIB,0.0,0.0,0.0
