,Name,RA,DEC,SpT,Teff,logg,Fe_H,ref_name
0,HD224930,0.5422916666666666,27.08225,G3 V,5305,4.49,-0.75,MILES1
1,HD225212,1.1254999999999997,-10.509527777777778,K3Ibvar,4166,0.95,0.02,MILES1
2,HD225239,1.224,34.65980555555556,G2V,5775,4.0,-0.45,MILES1
3,HD000004,1.2884583333333333,30.329027777777778,F0,6380,3.01,0.3,MILES1
4,HD000249,1.2884583333333333,30.329027777777778,K1IV,4717,2.4,-0.34,MILES1
5,HD000319,1.9454166666666663,-22.508555555555557,A1V,8140,3.8,-0.7,MILES1
6,HD000400,2.170583333333333,36.62711111111111,F8IV,6205,4.12,-0.33,MILES1
7,HD000245,2.211791666666666,86.78788888888889,G2V,5348,4.5,-1.16,MILES1
8,HD000448,2.2600833333333328,18.211972222222222,G9III,4710,2.56,0.05,MILES1
9,BD+130013,3.1262916666666665,14.563527777777779,K0,5000,3.0,-1.31,MILES1
10,HD000886,3.308958333333333,15.183583333333333,B2IV,21581,3.86,0.06,MILES1
11,HD001326B,4.595333333333333,44.02294444444444,M6 V,3330,5.08,-1.4,MILES1
12,HD001461,4.674458333333332,-8.053,G0V,5808,4.39,0.2,MILES1
13,HD001918,5.930166666666667,45.08913888888889,G9III,4865,2.01,-0.55,MILES1
14,HD002628,7.530666666666665,29.751555555555555,A7III,7325,3.59,0.0,MILES1
15,HD002665,7.689333333333332,57.06488888888889,G5IIIwe,5013,2.35,-1.96,MILES1
16,HD002796,7.820458333333334,-16.794666666666668,Fw,4945,1.36,-2.31,MILES1
17,HD002857,7.974124999999999,-5.261916666666667,A2 (HB),7450,2.6,-1.6,MILES1
18,HD003008,8.309624999999999,-10.728527777777778,K0,4331,0.84,-1.87,MILES1
19,HD003369,9.220166666666666,33.71933333333334,B5V,15276,4.1,-0.2,MILES1
20,HD003360,9.242875,53.89691666666667,B2IV,21170,3.92,0.12,MILES1
21,HD003567,9.633124999999998,-8.309277777777778,F5V,5917,3.96,-1.32,MILES1
22,HD003546,9.638916666666665,29.31175,G5III,4942,2.73,-0.66,MILES1
23,HD003574,9.791208333333334,49.35458333333334,K5III,3830,1.44,-0.01,MILES1
24,HD003651,9.840875,21.25047222222222,K0V,5396,4.61,-0.15,MILES1
25,HD003795,10.136708333333331,-23.804861111111112,G3/G5V,5355,3.88,-0.31,MILES1
26,HD003883,10.400166666666665,24.629,A7m,7777,3.65,0.48,MILES1
27,HD004307,11.369541666666665,-12.880805555555556,G0V,5727,4.07,-0.25,MILES1
28,HD004395,11.557291666666666,-11.452388888888889,G5,5670,3.45,-0.31,MILES1
29,HD004539,11.871749999999999,9.982138888888889,A,25200,5.4,0.16,MILES1
30,HD004628,12.095749999999999,5.280611111111111,K2V,4960,4.6,-0.29,MILES1
31,HD004656,12.170583333333333,7.585083333333333,K5III,3912,1.45,-0.14,MILES1
32,HD004744,12.469958333333333,30.450277777777778,G8IV,4541,2.47,-0.55,MILES1
33,HD004906,12.808541666666665,18.79030555555556,G0,5068,3.47,-0.84,MILES1
34,HD005268,13.573291666666666,-8.740666666666666,G5IV,4941,3.95,-0.4,MILES1
35,HD005384,13.926666666666664,-7.347138888888889,K5III,3950,1.66,0.0,MILES1
36,HD005395,14.166249999999998,59.18105555555555,G8III-IV,4797,2.55,-0.7,MILES1
37,HD005780,14.847124999999998,0.7787777777777778,K5II-III,3848,1.07,-0.7,MILES1
38,HD005916,15.329249999999996,45.45205555555556,G8III-IV,4863,2.5,-0.8,MILES1
39,HD006186,15.735875,7.890138888888888,G9III,4860,2.67,-0.34,MILES1
40,HD006203,15.760583333333331,-4.836611111111111,K0III-IV,4496,2.47,-0.29,MILES1
41,HD006268,15.825708333333331,-27.88052777777778,G:w?,4740,1.2,-2.32,MILES1
42,HD006229,15.901874999999999,23.768444444444444,G5IIIw,5133,2.39,-1.08,MILES1
43,HD006474,16.748916666666666,63.77316666666667,G4Ia,6222,1.5,0.25,MILES1
44,HD006497,16.750708333333332,56.93497222222222,K2III...,4398,2.5,0.01,MILES1
45,HD006582,17.068291666666664,54.92033333333333,G5Vp,5249,4.45,-0.75,MILES1
46,HD006805,17.14745833333333,-10.18225,K2III,4493,2.47,0.16,MILES1
47,HD005848,17.186999999999998,86.25708333333333,K2II-III,4400,2.19,0.1,MILES1
48,HD006834,17.396916666666662,39.781055555555554,F2,6473,4.22,-0.89,MILES1
49,HD006755,17.42941666666666,61.54727777777778,F8V,5102,2.4,-1.41,MILES1
50,HD006833,17.46775,54.73897222222222,G8III,4380,1.25,-0.99,MILES1
51,HD007106,17.915166666666664,30.08963888888889,K0.5IIIb,4543,2.33,-0.01,MILES1
52,HD007351,18.520458333333334,28.52958333333333,M2S?,3600,1.1,0.02,MILES1
53,HD007374,18.531791666666663,16.13347222222222,B8III,13324,4.0,-0.7,MILES1
54,HD007595,18.873041666666666,-28.26488888888889,K2III-IV,4345,1.5,-0.8,MILES1
55,HD007672,19.151208333333333,-2.5003611111111113,G5IIIe,5030,2.77,-0.43,MILES1
56,HD008724,21.573291666666666,17.126416666666668,G5,4688,1.49,-1.69,MILES1
57,HD008829,21.71483333333333,-13.056500000000002,F0V,7163,4.15,0.25,MILES1
58,HD009138,22.546291666666665,6.143805555555556,K4III,4103,1.85,-0.37,MILES1
59,HD009356,23.034041666666663,1.341722222222222,F0,6282,2.77,-1.38,MILES1
60,HD009562,23.4285,-7.025333333333333,G2IV,5728,3.77,0.15,MILES1
61,HD009408,23.482833333333332,59.23202777777778,K0III,4803,2.93,-0.3,MILES1
62,HD009826,24.199333333333332,41.40544444444444,F8V,6134,4.09,0.11,MILES1
63,HD009919,24.27466666666666,12.141527777777778,F0V,6830,3.96,-0.41,MILES1
64,HD010380,25.357874999999996,5.487611111111111,K3III,4057,1.43,-0.25,MILES1
65,HD010307,25.446416666666664,42.61336111111111,G2V,5838,4.28,0.03,MILES1
66,HD010700,26.017,-15.937472222222222,G8V,5264,4.36,-0.5,MILES1
67,BD+720094,26.80158333333333,73.47422222222222,sdF2:,6056,4.46,-1.71,MILES1
68,HD010780,26.936791666666664,63.8525,K0V,5392,4.6,0.1,MILES1
69,HD010975,27.162166666666664,37.95286111111111,K0III,4786,2.4,-0.32,MILES1
70,HD011257,27.716541666666664,11.043388888888888,F2Vw,7099,4.5,-0.2,MILES1
71,HD011397,27.918875,-16.31763888888889,G6IV/V,6074,5.15,0.09,MILES1
72,HD011964,29.289999999999996,-10.242416666666665,G5,5552,4.24,0.17,MILES1
73,HD012014,29.962041666666664,59.16083333333333,K0Ib,5196,2.3,0.45,MILES1
74,HD012438,30.31133333333333,-30.001833333333334,G5III,5080,2.81,-0.53,MILES1
75,HD013043,31.892791666666664,-0.6174166666666667,G2V,5695,3.68,0.1,MILES1
76,BD+290366,32.60220833333333,29.806583333333332,F8V,5609,4.22,-1.03,MILES1
77,HD013267,32.871624999999995,57.64555555555555,B5Ia,13800,2.44,,MILES1*
78,HD013555,33.20033333333333,21.211,F5V,6380,4.01,-0.35,MILES1
79,HD013520,33.305499999999995,44.23163888888889,K4III,3961,1.55,0.3,MILES1
80,BD-010306,33.66791666666666,-1.2014166666666666,G1V,5650,4.4,-0.9,MILES1
81,HD013783,34.20504166666666,64.95261111111111,G8V,5338,4.35,-0.55,MILES1
82,HD014221,34.84449999999999,48.95547222222223,F4V,6295,3.91,-0.35,MILES1
83,HD014802,35.635625,-23.816333333333333,G1V,5629,3.59,-0.08,MILES1
84,HD014829,35.78854166666667,-10.677583333333333,A0,8666,3.1,-1.25,MILES1
85,HD014938,36.09712499999999,-3.104027777777778,F5,6153,4.04,-0.35,MILES1
86,HD015596,37.72666666666666,17.70386111111111,G5III-IV,4755,2.5,-0.7,MILES1
87,HD015798,38.02179166666666,-15.244666666666665,F5V,6401,3.74,-0.16,MILES1
88,HD016031,38.54604166666666,-12.384305555555555,G8III,6030,4.05,-1.72,MILES1
89,HD016234,39.157958333333326,12.44763888888889,F7V,6164,4.32,-0.31,MILES1
90,HD016232,39.240583333333326,24.648055555555555,F4V,6346,4.54,0.03,MILES1
91,HD016673,40.05174999999999,-9.45286111111111,F6V,6253,4.28,0.05,MILES1
92,HD016784,40.161583333333326,-30.135388888888887,F8V,5826,3.92,-0.74,MILES1
93,BD+460610,40.440583333333336,47.35036111111111,F8,5841,4.11,-0.88,MILES1
94,G004-036,40.841874999999995,13.4325,K:,6010,4.39,-1.87,MILES1
95,HD016901,41.021499999999996,44.29702777777778,G0Ib-II,5345,0.85,0.0,MILES1
96,HD017081,41.03062499999999,-13.858694444444444,B7IV,13320,3.64,0.03,MILES1
97,HD017361,41.97725,29.247111111111114,K1.5III,4551,2.44,0.04,MILES1
98,HD017491,41.983,-12.460638888888889,M4III,3560,0.6,,MILES1*
99,HD017382,42.038083333333326,27.068638888888888,K1V,5065,4.5,-0.13,MILES1
100,HD017548,42.21604166666666,-1.509638888888889,F8,5958,4.28,-0.6,MILES1
101,HD017378,42.37808333333332,57.08430555555556,A5Ia,8530,1.35,,MILES1*
102,HD018191,43.95208333333333,18.33163888888889,M6IIIvar,3250,0.3,,MILES1*
103,HD018391,44.952999999999996,57.66325,G0Ia,5500,0.0,-0.28,MILES1
104,HD018907,45.40683333333333,-28.091555555555555,G5IV,5009,3.6,-0.75,MILES1
105,HD019445,47.106624999999994,26.330944444444444,A4p,5918,4.35,-2.05,MILES1
106,HD019510,47.12866666666666,10.44588888888889,F0.5,6109,2.6,-2.5,MILES1
107,HD019373,47.266749999999995,49.61327777777778,G0V,5991,4.02,0.17,MILES1
108,HD019994,48.1935,-1.1961111111111111,F8V,6016,3.99,0.12,MILES1
109,HD020041,48.94987499999999,57.14061111111111,A0Ia,9560,2.13,,MILES1*
110,HD020512,49.61308333333333,15.177333333333333,G5,5024,3.4,-0.65,MILES1
111,HD020619,49.75787499999999,-2.843194444444445,G0,5652,4.48,-0.28,MILES1
112,HD020630,49.840416666666655,3.3701944444444445,G5Vvar,5591,4.4,0.03,MILES1
113,HD020893,50.6885,20.742055555555556,K3III,4340,2.04,0.08,MILES1
114,BD+430699,50.88954166666666,43.95727777777778,K2,4608,4.52,-0.6,MILES1
115,HD021017,51.07695833333333,24.724055555555555,K4III,4405,2.22,0.05,MILES1
116,HD021197,51.24887499999999,-5.36375,K5V,4616,4.59,0.3,MILES1
117,HD021581,52.227,-0.41755555555555557,G0,4825,2.0,-1.7,MILES1
118,BD+660268,52.8225,66.73027777777779,G0,5381,4.56,-1.98,MILES1
119,HD022049,53.23266666666666,-9.45825,K2V,5052,4.57,-0.15,MILES1
120,HD022484,54.21824999999999,0.40166666666666667,F8V,5993,4.03,-0.1,MILES1
121,HD021910,54.65158333333333,74.738,G8III-IV,4694,1.75,-0.62,MILES1
122,HD022879,55.09191666666666,-3.216972222222222,F9V,5814,4.29,-0.83,MILES1
123,HD023249,55.81208333333333,-9.763388888888889,K0IV,4884,3.4,-0.11,MILES1
124,HD023261,55.97641666666666,3.4463611111111114,G5,5132,4.64,0.1,MILES1
125,HD023194,56.00125,24.556944444444444,A5V,8542,4.0,-0.2,MILES1
126,HD023439A,56.75879166666666,41.42725,K1V,4990,4.4,-1.01,MILES1
127,HD023439B,56.76112499999999,41.42830555555555,K2V,4755,4.37,-1.02,MILES1
128,HD023607,56.83066666666666,24.139055555555554,A7V,7875,4.0,-0.3,MILES1
129,HD023841,57.12820833333332,9.645944444444444,K1III,4292,1.3,-0.95,MILES1
130,HD023924,57.42049999999999,23.341583333333332,A7V,8000,4.0,-0.3,MILES1
