,Name,RA,DEC,SpT,Teff,logg,Fe_H,ref_name,Teff_err,logg_err,Fe_H_err
0,HD020902,51.08071,49.86118,F5 Ib,6527,0.26,-0.05,MILES2_cluster,200.0,0.3,0.1
1,HD107276,184.96093,28.46435,A6 IV-V,7972,4.21,-0.05,MILES2_cluster,200.0,0.3,0.1
2,HD107513,185.36142,24.99703,A9 V,7409,4.25,-0.05,MILES2_cluster,200.0,0.3,0.1
3,HD109307,188.39258,24.28298,A4 V,8471,4.16,-0.05,MILES2_cluster,200.0,0.3,0.1
4,HD025825,61.5672,15.69812,G0 V,5992,4.41,0.13,MILES2_cluster,200.0,0.3,0.1
5,HD026736,63.63465,23.57494,G3 V,5657,4.45,0.13,MILES2_cluster,200.0,0.3,0.1
6,HD027383,64.97858,16.52259,F7 V+?,6098,4.28,0.13,MILES2_cluster,200.0,0.3,0.1
7,HD027524,65.38187,21.03988,F5 V,6622,4.28,0.13,MILES2_cluster,200.0,0.3,0.1
8,HD027561,65.39498,14.40979,F5 V,6742,4.24,0.13,MILES2_cluster,200.0,0.3,0.1
9,HD027962,66.37243,17.92791,A2IV,8850,3.8,0.13,MILES2_cluster,200.0,0.3,0.1
10,HD028483,67.57488,19.84058,F6 V,6486,4.3,0.13,MILES2_cluster,200.0,0.3,0.1
11,HD028546,67.66204,15.69188,Am,7626,4.11,0.13,MILES2_cluster,200.0,0.3,0.1
12,HD029375,69.53935,16.03329,F0 V,7283,4.17,0.13,MILES2_cluster,200.0,0.3,0.1
13,HD030034,71.10762,11.14614,F0 V,7634,4.11,0.13,MILES2_cluster,200.0,0.3,0.1
14,HD030210,71.50725,11.70559,Am,7954,4.11,0.13,MILES2_cluster,200.0,0.3,0.1
15,HD030676,72.59971,17.20267,F8,6108,4.3,0.13,MILES2_cluster,200.0,0.3,0.1
16,HD031236,73.74317,19.48539,F3 IV,7397,4.21,0.13,MILES2_cluster,200.0,0.3,0.1
17,HD284253,64.13949,21.90747,K0 V,5256,4.55,0.13,MILES2_cluster,200.0,0.3,0.1
18,Mel 22 0296,56.04667,23.37944,G8V,5173,4.57,-0.03,MILES2_cluster,200.0,0.3,0.1
19,Mel 22 2462,57.46,23.70583,,5145,4.61,-0.03,MILES2_cluster,200.0,0.3,0.1
20,M3 398,205.51651,28.41912,GB,4541,1.51,-1.34,MILES2_cluster,200.0,0.3,0.1
21,M3 III 28,205.44102,28.4166,GB,4093,0.75,-1.34,MILES2_cluster,200.0,0.3,0.1
22,M3 IV 25,205.40164,28.35675,GB,4367,1.27,-1.34,MILES2_cluster,200.0,0.3,0.1
23,M4 LEE 1409,245.81762,-26.57961,,6415,2.51,-1.19,MILES2_cluster,200.0,0.3,0.1
24,M4 LEE 2303,245.88296,-26.40511,,6748,2.51,-1.19,MILES2_cluster,200.0,0.3,0.1
25,M5 I 45,229.67767,2.11261,HB,5758,2.4,-1.11,MILES2_cluster,200.0,0.3,0.1
26,M5 II 51,229.59425,2.11103,GB,4627,1.74,-1.11,MILES2_cluster,200.0,0.3,0.1
27,M5 II 53,229.60808,2.11081,HB,9441,2.43,-1.11,MILES2_cluster,200.0,0.3,0.1
28,M5 II 76,229.59929,2.11956,HB,5974,2.44,-1.11,MILES2_cluster,200.0,0.3,0.1
29,M5 III 03,229.57779,2.07578,GB,4031,0.65,-1.11,MILES2_cluster,200.0,0.3,0.1
30,M5 IV 19,229.64604,2.01858,GB,4113,0.87,-1.11,MILES2_cluster,200.0,0.3,0.1
31,M5 IV 59,229.68917,2.07508,GB,4245,1.15,-1.11,MILES2_cluster,200.0,0.3,0.1
32,M5 IV 86,229.68687,2.02897,HB,5576,2.44,-1.11,MILES2_cluster,200.0,0.3,0.1
33,M5 IV 87,229.69142,2.03011,HB,5864,2.56,-1.11,MILES2_cluster,200.0,0.3,0.1
34,M13 A 171,250.33168,36.35456,AGB,4566,1.21,-1.39,MILES2_cluster,200.0,0.3,0.1
35,M13 B 786,250.34812,36.50481,GB,3891,0.73,-1.39,MILES2_cluster,200.0,0.3,0.1
36,HD170764,277.97221,-19.12507,G1 Ib,6242,1.6,0.17,MILES2_cluster,200.0,0.3,0.1
