,Name,RA,DEC,SpT,Teff,logg,Fe_H,ref_name
0,BD+002058A,115.93316,-0.06693,S,6024,4.5,-1.49,MILES2_field
1,BD-010306,33.66791,-1.20142,S,5650,4.4,-0.9,MILES2_field
2,BD-011792,114.9588,-1.52233,S,4948,3.05,-1.05,MILES2_field
3,BD+012916,215.43859,0.7831,S,4238,0.35,-1.47,MILES2_field
4,BD-032525,134.79213,-4.02681,S,5750,3.6,-1.9,MILES2_field
5,BD+044551,312.21134,5.19966,S,5770,3.87,-1.62,MILES2_field
6,BD-052678,134.76402,-6.39616,S,5429,4.43,-2.14,MILES2_field
7,BD+053080,236.46834,5.04071,S,4832,4.0,-0.88,MILES2_field
8,BD+060648,63.30463,6.60049,S,4400,1.02,-2.1,MILES2_field
9,BD-060855,63.742,-5.63022,S,5283,4.5,-0.7,MILES2_field
10,BD+062986,226.22303,5.6381,S,4450,4.8,-0.3,MILES2_field
11,BD+090352,40.30683,9.77003,S,5894,4.25,-2.12,MILES2_field
12,BD+092190,142.31484,8.63347,S,6270,4.11,-2.86,MILES2_field
13,BD+093223,248.39825,9.10453,S,5350,2.0,-2.26,MILES2_field
14,BD-103166,164.61992,-10.77038,S,5400,4.4,0.5,MILES2_field
15,BD+112998,247.56993,10.99771,S,5373,2.3,-1.36,MILES2_field
16,BD-114126,245.86213,-11.59461,S,5000,4.3,0.2,MILES2_field
17,BD-122669,131.6649,-13.35705,S,6910,4.0,-1.49,MILES2_field
18,BD+130013,3.1263,14.56352,S,5000,3.0,-1.31,MILES2_field
19,BD+151305,101.17907,14.90998,S,5175,4.1,-0.6,MILES2_field
20,BD+172473,185.87925,16.90257,S,5299,3.75,-1.1,MILES2_field
21,BD-182065,118.15836,-18.59381,S,4700,1.9,-1.42,MILES2_field
22,BD+182890,218.05619,17.42341,S,4957,2.2,-1.61,MILES2_field
23,BD+195116B,352.96735,19.93628,S,2950,5.06,0.1,MILES2_field
24,BD+203603,268.68013,20.27123,S,6121,4.32,-2.09,MILES2_field
25,BD+233130,263.17344,23.73656,S,5039,2.42,-2.55,MILES2_field
26,BD+241676,112.67194,24.08618,S,6201,4.38,-2.45,MILES2_field
27,BD+251981,131.10288,24.7966,S,6798,4.25,-1.26,MILES2_field
28,BD+290366,32.6022,29.80657,S,5609,4.22,-1.03,MILES2_field
29,BD+302431,204.60318,29.36556,S,16904,4.2,0.77,MILES2_field
30,BD+302611,226.72429,30.01026,S,4311,0.94,-1.36,MILES2_field
31,BD+312360,186.08333,30.78,S,4600,2.0,-0.91,MILES2_field
32,BD+342476,209.78951,33.86093,S,6205,4.12,-2.05,MILES2_field
33,BD+362165,168.2,35.72886,S,6176,4.55,-1.36,MILES2_field
34,BD+371458,94.00634,37.72188,S,5200,3.0,-2.1,MILES2_field
35,BD+371665,107.53462,37.27608,S,4905,3.3,-1.38,MILES2_field
36,BD+384955,348.41175,39.41739,S,5163,3.99,-2.42,MILES2_field
37,BD+394926,341.54678,40.1073,S,7261,0.85,-2.52,MILES2_field
38,BD+430699,50.88953,43.95729,S,4608,4.52,-0.6,MILES2_field
39,BD+442051A,166.36907,43.52678,S,3544,4.85,-1.45,MILES2_field
40,BD+450983,71.82659,45.98629,S,5200,4.5,-0.25,MILES2_field
41,BD+460610,40.44059,47.35036,S,5841,4.11,-0.88,MILES2_field
42,BD+501021,69.53265,51.17013,S,4850,4.1,-0.9,MILES2_field
43,BD+511696,176.64647,50.88186,S,5640,4.8,-1.37,MILES2_field
44,BD+592723,351.63683,60.62854,S,6112,4.17,-2.02,MILES2_field
45,BD+612575,359.54403,62.61005,S,6222,1.97,0.35,MILES2_field
46,BD+660268,52.8225,66.73028,S,5381,4.56,-1.98,MILES2_field
47,BD+720094,26.80161,73.47422,S,6056,4.46,-1.71,MILES2_field
48,BD+800245,122.776,79.90821,S,5354,3.0,-2.15,MILES2_field
49,CD-2415398,293.08659,-23.85354,S,6269,2.93,-1.14,MILES2_field
50,CD-2610417,219.94594,-26.69806,S,4570,4.5,0.06,MILES2_field
51,CD-2809374,183.62394,-29.5988,S,5000,3.4,-1.18,MILES2_field
52,G004-036,40.84188,13.4325,S,6010,4.39,-1.87,MILES2_field
53,G156-031,339.64008,-15.29978,S,2747,5.09,,MILES2_field*
54,G171-010,355.47919,44.17748,S,2799,5.12,,MILES2_field*
55,HD000004,1.28846,30.32903,S,6380,3.01,0.3,MILES2_field
56,HD000245,2.21178,86.78788,S,5348,4.5,-1.16,MILES2_field
57,HD000249,1.84401,26.4506,S,4717,2.4,-0.34,MILES2_field
58,HD000319,1.94542,-22.50856,S,8140,3.8,-0.7,MILES2_field
59,HD000400,2.17058,36.62712,S,6205,4.12,-0.33,MILES2_field
60,HD000448,2.2601,18.21196,S,4710,2.56,0.05,MILES2_field
61,HD000886,3.30897,15.1836,S,21581,3.86,0.06,MILES2_field
62,HD001326B,4.60778,44.02734,S,3330,5.08,-1.4,MILES2_field
63,HD001461,4.67445,-8.053,S,5808,4.39,0.2,MILES2_field
64,HD001918,5.93017,45.08914,S,4865,2.01,-0.55,MILES2_field
65,HD002628,7.53069,29.75156,S,7325,3.59,,MILES2_field*
66,HD002665,7.68936,57.0649,S,5013,2.35,-1.96,MILES2_field
67,HD002796,7.82047,-16.79467,S,4945,1.36,-2.31,MILES2_field
68,HD002857,7.97413,-5.26191,S,7450,2.6,-1.6,MILES2_field
69,HD003008,8.30963,-10.72854,S,4331,0.84,-1.87,MILES2_field
70,HD003360,9.24285,53.89691,S,21170,3.92,0.12,MILES2_field
71,HD003369,9.22021,33.71934,S,15276,4.1,-0.2,MILES2_field
72,HD003546,9.63894,29.31175,S,4942,2.73,-0.66,MILES2_field
73,HD003567,9.63311,-8.30928,S,5917,3.96,-1.32,MILES2_field
74,HD003574,9.79123,49.35459,S,3830,1.44,-0.01,MILES2_field
75,HD003651,9.84086,21.25047,S,5396,4.61,-0.15,MILES2_field
76,HD003795,10.1367,-23.80488,S,5355,3.88,-0.31,MILES2_field
77,HD003883,10.40018,24.62901,S,7777,3.65,0.48,MILES2_field
78,HD004307,11.36953,-12.88081,S,5727,4.07,-0.25,MILES2_field
79,HD004395,11.55729,-11.45238,S,5670,3.45,-0.31,MILES2_field
80,HD004539,11.87175,9.98213,S,25200,5.4,0.16,MILES2_field
81,HD004628,12.09574,5.28061,S,4960,4.6,-0.29,MILES2_field
82,HD004656,12.1706,7.58508,S,3912,1.45,-0.14,MILES2_field
83,HD004744,12.46996,30.45029,S,4541,2.47,-0.55,MILES2_field
84,HD004906,12.80855,18.79032,S,5068,3.47,-0.84,MILES2_field
85,HD005268,13.5733,-8.74066,S,4941,3.95,-0.4,MILES2_field
86,HD005384,13.92667,-7.34715,S,3950,1.66,,MILES2_field*
87,HD005395,14.16627,59.18106,S,4797,2.55,-0.7,MILES2_field
88,HD005780,14.84713,0.77877,S,3848,1.07,-0.7,MILES2_field
89,HD005848,17.18699,86.25709,S,4400,2.19,0.1,MILES2_field
90,HD005916,15.32927,45.45205,S,4863,2.5,-0.8,MILES2_field
91,HD006186,15.73587,7.89014,S,4860,2.67,-0.34,MILES2_field
92,HD006203,15.76057,-4.8366,S,4496,2.47,-0.29,MILES2_field
93,HD006229,15.90189,23.76844,S,5133,2.39,-1.08,MILES2_field
94,HD006268,15.82571,-27.88054,S,4740,1.2,-2.32,MILES2_field
95,HD006474,16.74892,63.77316,S,6222,1.5,0.25,MILES2_field
96,HD006497,16.75072,56.93497,S,4398,2.5,0.01,MILES2_field
97,HD006582,17.06831,54.92034,S,5249,4.45,-0.75,MILES2_field
98,HD006755,17.42943,61.54728,S,5102,2.4,-1.41,MILES2_field
99,HD006805,17.14746,-10.18226,S,4493,2.47,0.16,MILES2_field
100,HD006833,17.46777,54.73896,S,4380,1.25,-0.99,MILES2_field
101,HD006834,17.39693,39.78105,S,6473,4.22,-0.89,MILES2_field
102,HD007106,17.91515,30.08964,S,4543,2.33,-0.01,MILES2_field
103,HD007351,18.52045,28.52957,S,3600,1.1,0.02,MILES2_field
104,HD007374,18.53179,16.13348,S,13324,4.0,-0.7,MILES2_field
105,HD007595,18.87304,-28.26489,S,4345,1.5,-0.8,MILES2_field
106,HD007672,19.1512,-2.50037,S,5030,2.77,-0.43,MILES2_field
107,HD008724,21.57331,17.12642,S,4688,1.49,-1.69,MILES2_field
108,HD008829,21.71485,-13.05651,S,7163,4.15,0.25,MILES2_field
109,HD009138,22.54631,6.14382,S,4103,1.85,-0.37,MILES2_field
110,HD009356,23.03405,1.34173,S,6282,2.77,-1.38,MILES2_field
111,HD009408,23.48282,59.23204,S,4803,2.93,-0.3,MILES2_field
112,HD009562,23.42849,-7.02534,S,5728,3.77,0.15,MILES2_field
113,HD009826,24.19934,41.40546,S,6134,4.09,0.11,MILES2_field
114,HD009919,24.27465,12.14153,S,6830,3.96,-0.41,MILES2_field
115,HD010307,25.44643,42.61337,S,5838,4.28,0.03,MILES2_field
116,HD010380,25.35789,5.48761,S,4057,1.43,-0.25,MILES2_field
117,HD010700,26.01701,-15.93748,S,5264,4.36,-0.5,MILES2_field
118,HD010780,26.93681,63.8525,S,5392,4.6,0.1,MILES2_field
119,HD010975,27.16219,37.95287,S,4786,2.4,-0.32,MILES2_field
120,HD011257,27.71655,11.04338,S,7099,4.5,-0.2,MILES2_field
121,HD011397,27.91886,-16.31765,S,6074,5.15,0.09,MILES2_field
122,HD011964,29.29003,-10.24243,S,5552,4.24,0.17,MILES2_field
123,HD012014,29.96205,59.16083,S,5196,2.3,0.45,MILES2_field
124,HD012438,30.31135,-30.00183,S,5080,2.81,-0.53,MILES2_field
125,HD013043,31.8928,-0.61742,S,5695,3.68,0.1,MILES2_field
126,HD013267,32.87164,57.64554,S,13800,2.44,,MILES2_field*
127,HD013520,33.30552,44.23165,S,3961,1.55,0.3,MILES2_field
128,HD013555,33.20036,21.21099,S,6380,4.01,-0.35,MILES2_field
129,HD013783,34.20505,64.95261,S,5338,4.35,-0.55,MILES2_field
130,HD014221,34.84449,48.95546,S,6295,3.91,-0.35,MILES2_field
131,HD014802,35.63561,-23.81633,S,5629,3.59,-0.08,MILES2_field
132,HD014829,35.78853,-10.67758,S,8666,3.1,-1.25,MILES2_field
133,HD014938,36.09713,-3.10404,S,6153,4.04,-0.35,MILES2_field
134,HD015596,37.72666,17.70386,S,4755,2.5,-0.7,MILES2_field
135,HD015798,38.02178,-15.24468,S,6401,3.74,-0.16,MILES2_field
136,HD016031,38.54603,-12.38429,S,6030,4.05,-1.72,MILES2_field
137,HD016232,39.24059,24.64806,S,6346,4.54,0.03,MILES2_field
138,HD016234,39.15798,12.44764,S,6164,4.32,-0.31,MILES2_field
139,HD016673,40.05176,-9.45287,S,6253,4.28,0.05,MILES2_field
140,HD016784,40.16158,-30.13541,S,5826,3.92,-0.74,MILES2_field
141,HD016901,41.0215,44.29704,S,5345,0.85,,MILES2_field*
142,HD017081,41.03062,-13.8587,S,13320,3.64,0.03,MILES2_field
143,HD017361,41.97725,29.24712,S,4551,2.44,0.04,MILES2_field
144,HD017378,42.37807,57.08432,S,8530,1.35,,MILES2_field*
145,HD017382,42.0381,27.06863,S,5065,4.5,-0.13,MILES2_field
146,HD017491,41.98301,-12.46065,S,3560,0.6,,MILES2_field*
147,HD017548,42.21604,-1.50965,S,5958,4.28,-0.6,MILES2_field
148,HD018191,43.95207,18.33164,S,3250,0.3,,MILES2_field*
149,HD018391,44.95301,57.66324,S,5500,,-0.28,MILES2_field
150,HD018907,45.40682,-28.09155,S,5009,3.6,-0.75,MILES2_field
151,HD019373,47.26675,49.61328,S,5991,4.02,0.17,MILES2_field
152,HD019445,47.10662,26.33094,S,5918,4.35,-2.05,MILES2_field
153,HD019510,47.12869,10.4459,S,6109,2.6,-2.5,MILES2_field
154,HD019994,48.19349,-1.1961,S,6016,3.99,0.12,MILES2_field
155,HD020041,48.94988,57.14062,S,9560,2.13,,MILES2_field*
156,HD020512,49.61307,15.17735,S,5024,3.4,-0.65,MILES2_field
157,HD020619,49.75789,-2.84319,S,5652,4.48,-0.28,MILES2_field
158,HD020630,49.8404,3.3702,S,5591,4.4,0.03,MILES2_field
159,HD020893,50.68851,20.74207,S,4340,2.04,0.08,MILES2_field
160,HD021017,51.07698,24.72406,S,4405,2.22,0.05,MILES2_field
161,HD021197,51.24888,-5.36376,S,4616,4.59,0.3,MILES2_field
162,HD021581,52.22702,-0.41753,S,4825,2.0,-1.7,MILES2_field
