,Name,RA,DEC,SpT,Teff,logg,Fe_H,ref_name
0,GJ 2,1.0938333333333332,45.69680555555555,M1.0V,3665,4.85,-0.16,Pass2018
1,HD 38B,1.2191666666666665,45.72063888888889,M0.0V,4055,4.64,0.11,Pass2018
2,LP 404-062,3.8633749999999996,19.77186111111111,M4.0V,3336,5.02,0.08,Pass2018
3,GX And,4.401041666666666,43.93594444444444,M1.0V,3606,4.93,-0.27,Pass2018
4,GQ And,4.4132083333333325,43.94022222222222,M3.5V,3283,5.11,-0.19,Pass2018
5,GJ 1012,6.95925,-6.755472222222222,M4.0V,3387,4.99,0.05,Pass2018
6,GJ 1013,7.695333333333333,-5.963027777777778,M3.5V,3392,5.01,-0.02,Pass2018
7,Wolf 1056,9.539541666666665,30.528583333333334,M2.5V,3537,4.89,-0.04,Pass2018
8,LP  465-061,9.682083333333333,14.817638888888888,M4.0V,3334,5.06,-0.09,Pass2018
9,G 172-030,14.038208333333332,44.99938888888889,M3.0V,3425,4.99,-0.05,Pass2018
10,GJ 47,15.089249999999996,61.27586111111111,M2.0V,3537,4.92,-0.13,Pass2018
11,BD+70 68,15.382999999999996,71.59227777777777,M3.0V,3478,4.92,0.0,Pass2018
12,BD+61 195,15.41920833333333,62.25966666666667,M1.5V,3796,4.69,0.13,Pass2018
13,YZ Cet,17.93658333333333,-17.080861111111112,M4.5V,3152,5.17,-0.2,Pass2018
14,LP 768-113,23.298124999999995,-17.72244444444444,M4.0V,3335,5.07,-0.11,Pass2018
15,G 071-024,24.421874999999996,0.5713611111111111,M2.0V,3644,4.8,0.01,Pass2018
16,GJ 70,25.62408333333333,4.237638888888889,M2.0V,3534,4.91,-0.08,Pass2018
17,G 244-037,27.673375,64.35547222222222,M2.5V,3553,4.89,-0.06,Pass2018
18,TZ Ari,29.843208333333333,12.967666666666666,M3.5V,3185,5.15,-0.18,Pass2018
19,G 244-047,30.09858333333333,63.69258333333333,M3.0V,3495,4.93,-0.05,Pass2018
20,RX J0202.4+1034,30.404,10.504555555555555,M4.5V,3254,5.12,-0.17,Pass2018
21,BD-18 359 AB,31.086624999999998,-17.69172222222222,M2.5V,3534,4.88,0.0,Pass2018
22,G 173-037,31.507749999999994,49.567750000000004,M3.5V,3414,5.02,-0.12,Pass2018
23,LP 709-040,32.21008333333333,-14.435833333333333,M2.5V,3555,4.87,0.0,Pass2018
24,G 035-032,32.700374999999994,18.486833333333333,M3.0V,3428,4.97,0.0,Pass2018
25,BD+02 348,32.870875,3.4919444444444445,M1.5V,3659,4.81,-0.05,Pass2018
26,BD+47 612,35.30041666666666,47.80763888888889,M0.5V,3921,4.68,0.06,Pass2018
27,GJ 102,38.17449999999999,24.854555555555557,M4.0V,3293,5.09,-0.11,Pass2018
28,BD+19 381,38.74770833333333,20.149944444444444,M2.0V,3595,4.88,-0.1,Pass2018
29,BX Cet,38.860749999999996,6.809472222222222,M4.0V,3326,5.03,0.04,Pass2018
30,VX Ari,40.83570833333333,25.454638888888887,M3.0V,3459,4.96,-0.07,Pass2018
31,Ross 364,43.854166666666664,55.37130555555556,M1.0V,3891,4.66,0.19,Pass2018
32,LP 711-032,44.35316666666667,-12.946250000000001,M2.5V,3381,5.08,-0.3,Pass2018
33,GJ 121.1,45.47624999999999,-18.227916666666665,M2.5V,3613,4.78,0.12,Pass2018
34,HD 275122,49.27524999999999,38.19163888888889,M1.5V,3854,4.66,0.2,Pass2018
35,GJ 133,49.761708333333324,79.91141666666667,M2.0V,3574,4.9,-0.11,Pass2018
36,G 077-046,50.249916666666664,-6.730444444444444,M2.0V,3552,4.91,-0.13,Pass2018
37,G 005-032,50.62295833333333,11.63,M2.5V,3412,5.02,-0.11,Pass2018
38,NLTT 11633,55.476375,45.85458333333334,M4.0V,3338,5.08,-0.2,Pass2018
39,BD+16 502A,55.74258333333333,16.620722222222224,M0.0V,4034,4.64,0.12,Pass2018
40,HD 23453,56.34429166666666,26.165388888888888,M0.0V,3997,4.65,0.11,Pass2018
41,Ross 567,57.943124999999995,62.52063888888889,M3.0V,3484,4.94,-0.04,Pass2018
42,LSPM J0422+1031,65.41441666666665,10.48511111111111,M3.5V,3438,4.96,0.0,Pass2018
43,BD+21 652,67.01225,21.888833333333334,M0.5V,4194,4.59,0.2,Pass2018
44,STN 2051A,67.46754166666666,58.933749999999996,M4.0V,3325,5.03,0.05,Pass2018
45,BD-11 916,69.23470833333332,-11.071166666666667,M1.5V,3624,4.84,-0.05,Pass2018
46,BD+52 857,69.10779166666666,52.85991666666667,M0.0V,4034,4.68,-0.09,Pass2018
47,HD 285968,70.50195833333333,18.92313888888889,M2.0V,3582,4.88,-0.08,Pass2018
48,2M J04425586+2128230,70.494875,21.444027777777777,M3.5V,3424,4.98,0.0,Pass2018
49,Wolf 1539,72.80987499999999,6.448944444444445,M3.5V,3391,5.0,0.0,Pass2018
50,GJ 180,73.28249999999998,-17.801694444444447,M2.0V,3563,4.9,-0.12,Pass2018
51,1RXS J045430.9+650451,73.23620833333334,65.05219444444444,M4.0V,3332,5.09,-0.19,Pass2018
52,BD+49 1280,74.40479166666667,49.825,M0.0V,4015,4.65,0.09,Pass2018
53,LP 776-049,75.65466666666666,-17.3975,M3.0V,3416,5.01,-0.1,Pass2018
54,2M J05050591+4414037,75.98612499999999,44.21288888888889,M5.0V,3285,5.1,-0.12,Pass2018
55,Wolf 230,76.72241666666665,17.961277777777777,M3.0V,3432,5.02,-0.2,Pass2018
56,Ross 388,77.06320833333332,15.436333333333334,M3.0V,3412,5.01,-0.09,Pass2018
57,GJ 192,77.94120833333332,19.648444444444443,M2.0V,3579,4.89,-0.12,Pass2018
58,Ross 41,81.77974999999999,9.62786111111111,M3.5V,3362,5.03,-0.03,Pass2018
59,Wolf 1450,82.26575,-3.455611111111111,M2.5V,3474,4.93,0.0,Pass2018
