,Name,RA,DEC,SpT,Teff,logg,Fe_H,ref_name
0,HD 002857,7.974166666666666,-5.26175,A2,7611,2.67,-1.51,STELIB
1,HD 005820,14.956999999999997,6.483222222222222,M2III,,,,STELIB*
2,HD 006268,15.825791666666666,-27.880472222222224,G0III,4712,1.13,-2.41,STELIB
3,HD 009138,22.54558333333333,6.143944444444445,K4III,4061,1.9,-0.39,STELIB
4,HD 012479,30.64616666666666,13.476722222222222,M2III,,,,STELIB*
5,HD 015318,37.03966666666666,8.460083333333333,B9III,11300,,,STELIB*
6,HD 018191,43.95208333333333,18.331666666666667,M6IIIvar,3450,0.5,-0.01,STELIB
7,HD 021581,52.22687499999999,-0.41733333333333333,G0,4885,2.12,-1.67,STELIB
8,HD 026630,63.724416666666656,48.40936111111111,G0Ib,5345,1.42,-0.11,STELIB
9,HD 029574,69.73224999999998,-13.346583333333333,G8/K0IIIw.,4183,0.39,-1.89,STELIB
10,HD 030739,72.65299999999999,8.90025,A1Vn,,,,STELIB*
11,HD 268623,73.04583333333332,-66.70222222222222,B2Ia,,,,STELIB*
12,HD 268749,73.37083333333332,-69.40944444444445,B7Iab,,,,STELIB*
13,HD 030614,73.51254166666666,66.34266666666666,O9.5Iae,31888,3.02,0.3,STELIB
14,HD 032034,73.79583333333332,-67.16944444444445,B9Ia,8262,1.29,-0.8,STELIB
15,HD 268819,73.88525,-69.96252777777778,F6,,,,STELIB*
16,HD 033133,75.78333333333333,-66.67833333333334,WN,,,,STELIB*
17,HD 033579,76.48129166666665,-67.88636111111111,A3Ia,7694,0.84,-0.23,STELIB
18,HD 032537,76.66941666666665,51.59813888888889,F0V,6978,4.07,-0.23,STELIB
19,HD 032923,76.86116666666665,18.645,G4V,5727,3.98,-0.2,STELIB
20,HD 271163,79.71666666666665,-65.68944444444445,B3Ia,,,,STELIB*
21,HD 034411,79.78366666666665,40.10066666666667,G0V,5845,4.13,0.01,STELIB
22,HD 034816,79.893875,-13.176777777777778,B0.5IV,28724,4.2,-0.13,STELIB
23,HD 271182,80.25712499999999,-65.80066666666666,F8...,6000,0.5,-0.53,STELIB
24,HD 035497,81.57291666666667,28.607861111111113,B7III,13429,3.8,-0.1,STELIB
25,GV    319,82.22916666666666,-66.025,F0II,,,,STELIB*
26,HD 269687,82.85416666666666,-69.09305555555555,B0e,,,0.11,STELIB*
27,HD 269697,82.91008333333332,-67.46988888888889,F5Ia,,,,STELIB*
28,HD 269698,82.92499999999998,-67.635,O5e,,,,STELIB*
29,HD 036512,82.98274999999998,-7.301527777777777,B0V,32200,4.13,0.25,STELIB
30,HD 036673,83.18254166666665,-17.822305555555555,F0Ib,7276,1.31,-0.02,STELIB
31,HD 037680,83.57499999999999,-69.75,WC,,,,STELIB*
32,HD 269781,83.59362499999999,-67.02322222222222,A0Iae,,,,STELIB*
33,HD 038282,84.72083333333332,-69.03361111111111,WN,,,-0.26,STELIB*
34,HD 037828,85.22758333333333,-11.199944444444444,K0,4335,1.36,-1.39,STELIB
35,HD 037394,85.33470833333334,53.48233333333334,K1V,5194,4.12,-0.2,STELIB
36,HD 038247,86.29799999999999,18.704361111111112,G8Iab,4755,1.7,0.04,STELIB
37,HD 039587,88.59616666666666,20.276416666666666,G0V,5915,4.39,-0.02,STELIB
38,HD 039801,88.792875,7.407027777777778,M2Ib,3540,0.0,0.03,STELIB
39,HD 039866,89.14070833333332,28.94227777777778,A2II,10080,1.95,0.01,STELIB
40,HD 039949,89.27316666666667,27.316694444444444,G2Ib,5250,1.1,-0.16,STELIB
41,HD 040111,89.49858333333333,25.953916666666665,B1Ib,,,,STELIB*
42,HD 041667,91.26516666666666,-32.99425,G8V,4605,1.88,-1.16,STELIB
43,HD 041593,91.66895833333332,15.542361111111111,K0V,5305,4.49,0.07,STELIB
44,HD 041636,92.09641666666666,41.05583333333333,G9III,4755,1.7,-0.3,STELIB
45,HD 042454,93.02287499999998,29.492166666666666,G2Ib,5250,1.1,-0.05,STELIB
46,HD 042543,93.07958333333332,22.908527777777778,M1Ia-ab,3789,0.0,-0.42,STELIB
47,HD 043153,93.85470833333332,16.143194444444443,B7V,13263,4.3,-0.5,STELIB
48,HD 045829,97.50954166666666,7.921111111111111,K0Iab,4435,0.2,-0.02,STELIB
49,HD 046223,98.03879166666665,4.823527777777778,O5e,49300,3.95,,STELIB*
50,HD 047129,99.35016666666667,6.1353888888888894,O8V+...,,,,STELIB*
51,HD 047839,100.24441666666665,9.89575,O7Ve,39500,3.71,,STELIB*
52,HD 047731,100.33708333333333,28.196638888888888,G5Ib,4990,1.0,-0.16,STELIB
53,HD 048329,100.98304166666667,25.13116666666667,G8Ib,4384,0.76,0.06,STELIB
54,HD 048682A,101.68475,43.57702777777778,G0V,5727,,0.15,STELIB
55,HD 048682B,101.69166666666666,43.58416666666667,M0V,,,,STELIB*
56,HD 049933,102.70758333333332,-0.5404166666666667,F2V,6538,4.32,-0.59,STELIB
57,HD 050420,103.81108333333331,43.91005555555555,A9III,7200,3.28,0.04,STELIB
58,HD 052005,105.06591666666665,16.079,K4Iab:,4271,0.8,-0.22,STELIB
59,HD 052973,106.02724999999998,20.570305555555557,G3Ibvar,5604,1.77,0.25,STELIB
60,HD 053929,106.77699999999999,4.910611111111112,B9.5III,14011,3.63,0.29,STELIB
61,HD 054719,107.78495833333334,30.24527777777778,K2III,4355,2.17,0.02,STELIB
62,HD 058551,111.71020833333333,21.535722222222223,F6V,6165,4.23,-0.53,STELIB
63,HD 059881,113.02479166666666,1.9144722222222221,F0III,7636,3.09,0.19,STELIB
64,HD 060178,113.64999999999998,31.888638888888888,A2Vm,8842,4.25,-0.2,STELIB
65,HD 060778,114.04912499999999,-0.13747222222222222,A1V,8416,3.3,-0.5,STELIB
66,HD 061064,114.31970833333332,-4.111027777777777,F6III,6367,3.21,0.44,STELIB
67,LHS   235,115.08749999999999,-17.415,DF,,,,STELIB*
68,HD 063077,116.39658333333331,-34.17655555555555,G0V,5731,4.08,-0.87,STELIB
69,HD 064090,118.38599999999998,30.609527777777778,sdG2,5413,4.53,-1.7,STELIB
70,HD 065583,120.13433333333332,29.215194444444442,G8V,5295,4.64,-0.66,STELIB
71,HD 067767,122.61345833333331,25.508166666666668,G8IV,5598,4.37,0.17,STELIB
72,HD 069897,125.016125,27.21861111111111,F6V,6275,4.21,-0.31,STELIB
73,HD 070272,125.70887499999999,43.18836111111111,K5III,3900,1.59,-0.03,STELIB
74,HD 072184,128.22941666666665,38.016777777777776,K2III,4525,2.05,-0.05,STELIB
75,HD 072324,128.25058333333334,24.084916666666665,G9III,4743,2.06,-0.01,STELIB
76,HD 074280,130.8062083333333,3.3986666666666667,B3V,17899,3.83,-0.09,STELIB
77,HD 074739,131.67429166666668,28.76,G8Iab:,4910,2.27,-0.05,STELIB
78,HD 075732,133.15054166666667,28.33138888888889,G8V,5256,4.38,0.37,STELIB
