,Name,RA,DEC,SpT,Teff,logg,Fe_H,ref_name
0,BD+000444,40.17864,1.19868,M0,4280,,,TGMET*
1,BD-004234,323.0497,0.22171,K3Ve+...,4574,4.32,-0.84,TGMET
2,BD-011792,114.95879,-1.52233,G6V,5034,2.97,-0.97,TGMET
3,BD+012063,124.82938,1.33886,G5,,,0.25,TGMET*
4,BD+014774,357.3022,2.40122,M2V,,,0.02,TGMET*
5,BD+043561a,269.45207,4.69339,sdM4,3332,5.2,-0.15,TGMET
6,BD+093223,248.39825,9.10453,,5362,2.0,-2.26,TGMET
7,BD+112998,247.56993,10.99771,F8,5424,2.35,-1.16,TGMET
8,BD+124499,313.77859,13.17675,K3V,,,,TGMET*
9,BD-185550,299.70724,-18.20309,G0,4646,1.15,-2.94,TGMET
10,BD+213245,268.37473,21.32529,K0,,,0.45,TGMET*
11,BD+302611,226.72428,30.01026,G8III,4284,0.89,-1.39,TGMET
12,BD+321561,112.25737,31.99384,K2V,4950,,0.07,TGMET*
13,BD+330099,10.88692,33.84457,K8,,,-0.01,TGMET*
14,BD+334707,351.29713,34.28727,K2,4660,4.19,-0.61,TGMET
15,BD+362219,177.78057,35.27202,M1V,,,-0.39,TGMET*
16,BD+400045,4.27656,40.9483,M0,,,-0.55,TGMET*
17,BD+412695,245.21975,40.96145,M0,,,0.23,TGMET*
18,BD+413306,289.75229,41.6346,K0V,5003,4.35,-0.7,TGMET
19,BD+430699,50.88953,43.95728,K2,4760,4.68,-0.41,TGMET
20,BD+442051,166.36907,43.52678,M2Vvar,3687,4.9,-0.43,TGMET
21,BD+461635,157.85089,45.52605,K7V,4250,,,TGMET*
22,BD+522815,312.63782,52.8996,K5,,,,TGMET*
23,BD+630869,149.03613,62.78846,M2,,,0.09,TGMET*
24,BD+671424,334.13245,68.3398,K5,,,0.2,TGMET*
25,BD+680946,264.10792,68.33914,M3.5Vvar,3583,4.86,0.0,TGMET
26,HD000166,1.65327,29.0215,K0V,5473,4.62,0.05,TGMET
27,HD000245,2.21175,86.78788,G2V,5513,3.5,-0.76,TGMET
28,HD001227,4.14184,8.24016,G8II-III,5037,2.65,0.25,TGMET
29,HD001326,4.59536,44.02295,M1V,,,,TGMET*
30,HD001400,4.61992,62.20277,K7Iab:,,,,TGMET*
31,HD001835,5.71579,-12.20944,G3V,5767,4.45,0.16,TGMET
32,HD002506,7.30943,59.46948,G4III,,,-0.1,TGMET*
33,HD002665,7.68936,57.0649,G5IIIwe,5021,2.28,-1.98,TGMET
34,HD002796,7.82048,-16.79467,Fw,4907,1.43,-2.3,TGMET
35,HD002910,8.14786,20.29432,K0III,4745,2.75,0.1,TGMET
36,HD003546,9.63894,29.31175,G5III...,4878,2.38,-0.69,TGMET
37,HD003651,9.84086,21.25047,K0V,5192,4.42,0.14,TGMET
38,HD003712,10.12684,56.53733,K0II-IIIvar,4594,2.14,-0.1,TGMET
39,HD003765,10.20529,40.18718,K2V,5067,4.45,0.1,TGMET
40,HD004188,11.0475,-10.60955,K0IIIvar,4816,2.79,0.04,TGMET
41,HD004256,11.27039,1.78552,K2V,4930,4.8,0.34,TGMET
42,HD004306,11.36318,-9.54439,G0,4929,1.99,-2.68,TGMET
43,HD004395,11.55729,-11.45238,G5,5467,3.32,-0.35,TGMET
44,HD004482,11.75608,11.97385,G8II,4917,2.65,0.02,TGMET
45,HD004628,12.09574,5.28061,K2V,5040,4.64,-0.25,TGMET
46,HD004635,12.44368,70.44949,K0,5129,,-0.13,TGMET*
47,HD004913,12.84064,18.73925,K2,,,-0.14,TGMET*
48,HD005234,13.75065,58.9727,K2III,4424,1.76,-0.25,TGMET
49,HD005294,13.74696,24.10027,G5,5779,4.1,-0.17,TGMET
50,HD005351,14.26838,69.04345,K4V,,,0.17,TGMET*
51,HD005395,14.16627,59.18106,G8III-IV,4764,2.36,-0.44,TGMET
52,HD005857,15.06554,18.19902,G5,4556,,-0.34,TGMET*
53,HD005916,15.32927,45.45205,G8III-IV,4912,1.76,-0.57,TGMET
54,HD006319,19.055,87.14549,K2III:,4650,2.3,0.06,TGMET
55,HD006482,16.40368,-9.97932,K0III,4738,2.4,-0.11,TGMET
56,HD006582,17.06831,54.92034,G5Vp,5332,4.51,-0.84,TGMET
57,HD006660,16.9078,22.95498,K4V,4676,,0.15,TGMET
58,HD006715,17.05202,21.97701,G5,5629,,-0.06,TGMET*
59,HD006718,16.95276,-8.2337,G0,5870,,-0.64,TGMET*
60,HD006755,17.42944,61.54727,F8V,5105,2.68,-1.5,TGMET
61,HD006833,17.46777,54.73897,G8III,4435,1.3,-0.91,TGMET
62,HD006860,17.43302,35.62056,M0IIIvar,3842,1.52,-0.05,TGMET
63,HD007106,17.91515,30.08964,K0III-IV...,4663,2.64,0.05,TGMET
64,HD007351,18.52044,28.52958,M2S SB,3600,1.0,0.02,TGMET
65,HD007578,19.07884,33.11472,K1III,4680,2.5,0.12,TGMET
66,HD007590,19.12189,42.93942,G0,5994,4.54,-0.03,TGMET
67,HD007924,20.49631,76.71029,K0,5165,4.58,-0.15,TGMET
68,HD008599,21.20284,-2.84859,G8III,4781,2.5,-0.22,TGMET
69,HD008724,21.57331,17.12642,G5,4574,1.34,-1.76,TGMET
70,HD008733,21.59832,20.07081,K0,4932,2.7,0.02,TGMET
71,HD009407,23.63861,68.94813,G6V,5645,4.44,0.03,TGMET
72,HD009408,23.48282,59.23204,K0III,4727,2.43,-0.29,TGMET
73,HD009927,24.49815,48.62821,K3III,4373,2.11,-0.01,TGMET
74,HD010086,24.90008,45.87777,G5IV,5706,4.46,0.12,TGMET
75,HD010145,25.40721,66.90994,G5V,5664,4.42,-0.01,TGMET
76,HD010380,25.35789,5.48761,K3III,4127,1.39,-0.26,TGMET
77,HD010476,25.62401,20.2685,K1V,5201,4.45,-0.03,TGMET
78,HD010700,26.01701,-15.93748,G8V,5344,4.45,-0.52,TGMET
79,HD010780,26.93681,63.8525,K0V,5359,4.44,0.02,TGMET
80,HD010853,26.66133,12.41177,K5,,,-0.7,TGMET*
81,HD010975,27.16219,37.95287,K0III,4881,2.2,-0.19,TGMET
82,HD011373,28.52549,66.17619,G5,4787,,,TGMET*
83,HD011559,28.38896,3.18754,K0III SB,4990,2.96,0.07,TGMET
84,HD011749,29.03902,37.25183,G8III...,4655,2.42,-0.18,TGMET
85,HD011949,29.63961,49.20435,K0IV,4708,2.3,-0.16,TGMET
86,HD012051,29.77764,33.20968,G5,5483,4.62,0.26,TGMET
87,HD012846,31.62601,24.33399,G2V,5693,4.42,-0.28,TGMET
88,HD013507,33.22919,40.66834,G0,5712,4.53,0.0,TGMET
89,HD013530,33.40142,51.06581,G8III:var,4787,2.65,-0.52,TGMET
90,HD013579,33.92733,67.67231,K2V,5232,4.59,0.35,TGMET
91,HD013783,34.20505,64.95261,G8V,5484,4.14,-0.67,TGMET
92,HD013825,33.85173,24.2713,G8IV,5707,4.44,0.19,TGMET
93,HD014374,34.81682,-0.77984,G0,5455,4.3,-0.09,TGMET
94,HD015285,36.94109,4.43215,K7V:,,,0.11,TGMET*
95,HD015453,37.39733,9.56563,K2III,4696,2.4,-0.07,TGMET
96,HD015596,37.72666,17.70385,G5III-IV,4804,2.5,-0.68,TGMET
97,HD015753,38.29028,42.89618,G0,5589,,0.27,TGMET*
98,HD015755,38.21925,34.54241,K0III,4611,2.3,-0.01,TGMET
99,HD015779,38.03926,-1.0349,G3III:,4813,2.76,-0.01,TGMET
100,HD015830,38.54442,42.78525,G0,,,,TGMET*
101,HD015866,38.47595,31.58058,G0III,,,0.07,TGMET*
102,HD016160,39.02039,6.88687,K3V,4841,4.55,-0.07,TGMET
103,HD016247,39.14613,7.73003,K0III:,4629,2.2,-0.22,TGMET
104,HD016397,39.6161,30.81663,G0V,5761,4.26,-0.54,TGMET
105,HD016400,39.42417,-3.39617,G5III:,4840,2.5,-0.01,TGMET
