,Name,RA,DEC,SpT,Teff,logg,Fe_H,ref_name
0,HD 100623,173.62286,-32.83134,K0V,5140,4.56,-0.36,Yee2017
1,HD 101904,176.00117,64.9642,G0,5883,4.1,0.12,Yee2017
2,HD 102195,176.42622,2.82148,K0V,5277,4.5,0.1,Yee2017
3,HD 102444,176.88109,-5.26362,G6IV/V,5227,3.6,0.0,Yee2017
4,HD 102956,177.8438,57.64073,K0III,4985,3.38,0.26,Yee2017
5,HD 103459,178.71649,-1.45149,G5V,5722,4.03,0.24,Yee2017
6,HD 103890,179.44244,-8.27528,F8V,6120,4.19,0.03,Yee2017
7,HD 104437,180.42003,39.58659,G5IV,5761,4.4,0.17,Yee2017
8,HD 106088,183.10271,19.80102,G9V,5470,3.87,0.34,Yee2017
9,HD 107181,184.86392,-26.10737,G3V,5628,4.05,0.31,Yee2017
10,HD 108189,186.41909,-0.28218,G6IV,5373,3.56,0.03,Yee2017
11,HD 108863,187.58296,21.94824,K0III-IV,4878,3.08,0.2,Yee2017
12,HD 109159,188.17179,-17.22068,G6IV,5151,3.6,-0.08,Yee2017
13,HD 109749,189.31824,-40.81212,G3V,5825,4.24,0.24,Yee2017
14,HD 10995,27.08668,17.02276,G2IV,5688,3.67,0.1,Yee2017
15,HD 110463,190.43551,55.72467,K3V,4906,4.55,0.06,Yee2017
16,HD 110537,190.74719,-4.04933,G6/8V,5718,4.3,0.08,Yee2017
17,HD 110743,190.97652,34.34372,K1V,5198,4.47,0.01,Yee2017
18,HD 110833,191.0606,51.7593,K3,4999,4.51,0.18,Yee2017
19,HD 111814,192.93984,19.22883,G7V,5646,3.93,0.22,Yee2017
20,HD 112415,194.08818,6.89312,G0,5574,4.25,0.28,Yee2017
21,HD 112914,194.88659,41.98676,K3V,4816,4.51,-0.26,Yee2017
22,HD 114659,197.95297,12.73044,K0,4838,3.08,0.17,Yee2017
23,HD 116442,200.91314,2.72333,G9V,5155,4.54,-0.38,Yee2017
24,HD 122253,209.923,42.04981,K0,5007,3.36,0.03,Yee2017
25,HD 122973,211.29454,-9.04851,G2V,5989,4.46,0.2,Yee2017
26,HD 123239,211.68781,-14.09527,K0III,4795,2.94,-0.05,Yee2017
27,HD 124257A,212.75412,50.25232,,5911,4.15,0.15,Yee2017
28,HD 125607,214.86337,37.60997,G7III,4985,3.35,0.1,Yee2017
